,attributes_Accepts Credit Cards,attributes_Accepts Insurance,attributes_Ages Allowed,attributes_Alcohol,attributes_Ambience,attributes_Attire,attributes_BYOB,attributes_BYOB/Corkage,attributes_By Appointment Only,attributes_Caters,attributes_Coat Check,attributes_Corkage,attributes_Delivery,attributes_Dietary Restrictions,attributes_Dogs Allowed,attributes_Drive-Thru,attributes_Good For,attributes_Good For Dancing,attributes_Good For Groups,attributes_Good for Kids,attributes_Hair Types Specialized In,attributes_Happy Hour,attributes_Has TV,attributes_Music,attributes_Noise Level,attributes_Open 24 Hours,attributes_Order at Counter,attributes_Outdoor Seating,attributes_Parking,attributes_Price Range,attributes_Smoking,attributes_Take-out,attributes_Takes Reservations,attributes_Waiter Service,attributes_Wheelchair Accessible,attributes_Wi-Fi,business_id,categories,city,full_address,hours_Friday,hours_Monday,hours_Saturday,hours_Sunday,hours_Thursday,hours_Tuesday,hours_Wednesday,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
32094,FALSE,,,,,,,,FALSE,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,cW5rkOyQYKV9WNwd-yG93A,"Arts & Entertainment,Art Galleries,Shopping,Restaurants,Cafes",Edinburgh,"20A 20a Dundas Street
New Town
Edinburgh EH3 6HZ",,,,,,,,55.9564898,-3.1992446,National Portrait Gallery Cafe,New Town,TRUE,6,4,EDH,business
32100,,,,,,,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,,,,,,,,,,,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",,,,,,TRUE,,d-K2njXXxgA0JJx8SmPt2Q,"Thai,Chinese,Restaurants",Edinburgh,"221 Saint John's Road
Corstorphine
Edinburgh EH12 7UU","{u'close': u'23:30', u'open': u'17:00'}","{u'close': u'23:30', u'open': u'17:00'}","{u'close': u'23:30', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:30', u'open': u'17:00'}","{u'close': u'23:30', u'open': u'17:00'}","{u'close': u'23:30', u'open': u'17:00'}",55.9431099,-3.2868423,Wongs,,TRUE,4,4,EDH,business
32103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,llZgzQwyy6fgXctdP8NuAw,"Fast Food,Chinese,Restaurants",Edinburgh,"95 Inglis Gn Road
Edinburgh EH14 2EZ",,,,,,,,55.9250363,-3.2559102,Mister Lees,,TRUE,5,5,EDH,business
32104,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,TRUE,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}",FALSE,TRUE,FALSE,,TRUE,FALSE,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}",average,,,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,outdoor,FALSE,TRUE,TRUE,TRUE,free,6MujEd4R1taYm__hZ2gLZA,"Wine Bars,Bars,Nightlife,Brasseries,Restaurants",Edinburgh,"159-161 Bruntsfield Pl
Bruntsfield
Bruntsfield
Edinburgh EH10 4DG","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}","{u'close': u'01:00', u'open': u'09:00'}",55.93581779,-3.209505363,Montpeliers,Bruntsfield,TRUE,53,3.5,EDH,business
32108,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,TRUE,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}",FALSE,TRUE,FALSE,,,TRUE,"{u'dj': False, u'background_music': True, u'jukebox': False, u'live': False, u'video': False, u'karaoke': False}",average,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,outdoor,FALSE,TRUE,TRUE,,free,MChDCe2bopMtQgPjj1XxpQ,"Bars,British,Pubs,Nightlife,Gastropubs,Restaurants",Edinburgh,"134 Dundee Street
Edinburgh EH11 1AJ","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}",55.94095324,-3.217663194,McCowans Brewhouse,,TRUE,18,3.5,EDH,business
32109,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,"{u'garage': False, u'street': True, u'lot': False, u'valet': False}",1,,TRUE,,,,,S7RqCplads-Pvqb2k19yew,"Fast Food,Restaurants",Edinburgh,"Annfield
Leith
Edinburgh EH6 4JF","{u'close': u'00:00', u'open': u'16:30'}",,"{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'23:00', u'open': u'16:30'}","{u'close': u'23:00', u'open': u'16:30'}","{u'close': u'23:00', u'open': u'16:30'}","{u'close': u'23:00', u'open': u'16:30'}",55.9800274,-3.1907712,Ocean Spice,Leith,TRUE,3,4.5,EDH,business
32118,TRUE,,,,,casual,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",3,,TRUE,,,TRUE,,M7BNZfYcWPgj2kxXz1yRMg,"Food,Cheese Shops,Delis,Restaurants,Specialty Food",Edinburgh,"30A Victoria Street
Grassmarket
Edinburgh EH1 2JW","{u'close': u'18:00', u'open': u'09:30'}","{u'close': u'18:00', u'open': u'09:30'}","{u'close': u'18:00', u'open': u'09:30'}","{u'close': u'17:00', u'open': u'12:00'}","{u'close': u'18:00', u'open': u'09:30'}","{u'close': u'18:00', u'open': u'09:30'}","{u'close': u'18:00', u'open': u'09:30'}",55.9486409,-3.1941658,I. J. Mellis,"Grassmarket,Old Town",TRUE,18,5,EDH,business
32124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9syifaJhqBK_R1KfeGHvYw,"Fast Food,Restaurants",Edinburgh,"108 Portobello High Street
Edinburgh EH15 1AL",,,,,,,,55.9539589,-3.1157249,108 Chinese Take Away,,TRUE,3,5,EDH,business
32130,FALSE,,,none,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,TRUE,,,eKp012jNe4LL6q7YRfAXWQ,"Food,Coffee & Tea,Sandwiches,Restaurants",Edinburgh,"186 Causewayside
Edinburgh EH9 1PN","{u'close': u'14:30', u'open': u'06:30'}","{u'close': u'14:30', u'open': u'06:30'}",,,"{u'close': u'14:30', u'open': u'06:30'}","{u'close': u'14:30', u'open': u'06:30'}","{u'close': u'14:30', u'open': u'06:30'}",55.935597,-3.1799138,Grange Takeaway,,TRUE,6,4,EDH,business
32131,TRUE,,,none,,casual,,,,,,,TRUE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,TRUE,,WBMQbW19_xH2zoUjAzIAAQ,"Fast Food,Restaurants",Edinburgh,"6 Newington Road
Newington
Edinburgh EH9 1QS","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'00:00', u'open': u'16:30'}",55.938933,-3.1796128,Goodwill Chinese Carryout,Newington,TRUE,6,3,EDH,business
32145,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,TRUE,,,TRUE,,,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}",,TRUE,TRUE,,,FALSE,,quiet,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",3,,TRUE,TRUE,FALSE,,no,JSEJ2l4LNJz8f3q39Gx31w,"Fast Food,Pizza,Restaurants",Edinburgh,"101 Nicolson Street
Newington
Edinburgh EH8 9BY","{u'close': u'02:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'02:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}","{u'close': u'01:00', u'open': u'11:00'}",55.94405219,-3.183742948,Domino's Pizza,Newington,TRUE,12,3.5,EDH,business
32159,,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,FALSE,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,average,,,FALSE,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,,free,h8kf3PVrRk8PamXQwABqrw,"Delis,Restaurants",Edinburgh,"324 Morningside Road
Morningside
Edinburgh EH10 4QJ","{u'close': u'17:00', u'open': u'08:30'}","{u'close': u'17:00', u'open': u'08:30'}","{u'close': u'17:00', u'open': u'08:30'}",,"{u'close': u'17:00', u'open': u'08:30'}","{u'close': u'17:00', u'open': u'08:30'}","{u'close': u'17:00', u'open': u'08:30'}",55.9274301,-3.2094759,The Deli,Morningside,TRUE,3,4.5,EDH,business
32163,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,FALSE,,,FALSE,,FALSE,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,average,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,TRUE,TRUE,FALSE,no,Nom2-t7jSD4RvbsgnxaP3Q,"Chinese,Restaurants",Edinburgh,"62 Ratcliffe Terrace
Edinburgh EH9 1ST","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}",55.9335593,-3.1781417,Good Year Chinese Restaurant,,TRUE,6,3.5,EDH,business
32165,TRUE,,,none,,,,,,,,,TRUE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,,,,,,,,,,FALSE,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,,,no,eh480J34aBFwikOvwlZaNQ,"Fast Food,Chinese,Restaurants",Edinburgh,"8 Meadowbank Place
Edinburgh EH8 7AW","{u'close': u'00:00', u'open': u'16:30'}",,"{u'close': u'00:00', u'open': u'16:30'}","{u'close': u'23:30', u'open': u'16:30'}","{u'close': u'23:30', u'open': u'16:30'}","{u'close': u'23:30', u'open': u'16:30'}","{u'close': u'23:30', u'open': u'16:30'}",55.95535209,-3.155391402,Loon Wah,,TRUE,9,4.5,EDH,business
32170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMijMsCdGqFPGa8R3wdNhA,"Fast Food,Sandwiches,Restaurants",Edinburgh,"2-4 Shandwick Place
West End
Edinburgh EH2 4SH",,,,,,,,55.9501343,-3.2085343,Subway,West End,TRUE,4,3.5,EDH,business
32175,FALSE,,,none,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,1,,,,,,,ZNVicGnKfP-52Kxv8jOpiQ,"Fast Food,Restaurants",Edinburgh,"31 North West Circus Place
New Town
Edinburgh EH3 6TP","{u'close': u'22:30', u'open': u'11:30'}","{u'close': u'22:30', u'open': u'11:30'}","{u'close': u'22:00', u'open': u'16:00'}","{u'close': u'22:00', u'open': u'16:00'}","{u'close': u'22:30', u'open': u'11:30'}","{u'close': u'22:30', u'open': u'11:30'}","{u'close': u'22:30', u'open': u'11:30'}",55.9573715,-3.2072803,Take It Away Spud,New Town,TRUE,3,4.5,EDH,business
32193,TRUE,,,beer_and_wine,,casual,,,,,,,TRUE,"{u'dairy-free': False, u'gluten-free': False, u'vegan': False, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': False}",,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,,,,,,,,,FALSE,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2,,TRUE,TRUE,TRUE,TRUE,no,Fe5a8ACd85KVTy5q6l47PA,"Pakistani,Indian,Restaurants",Edinburgh,"171 Bruntsfield Place
Bruntsfield
Edinburgh EH10 4DG","{u'close': u'00:30', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:30', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'16:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}",55.9357596,-3.2097491,Himalaya Tandoori Restaurant,Bruntsfield,TRUE,9,4,EDH,business
32197,FALSE,,,none,,casual,,,,,,,TRUE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,FALSE,,SRj_dgdfa8l8yprClGIhrg,"Fast Food,Restaurants",Edinburgh,"96 South Clerk Street
Newington
Edinburgh EH8 9PT","{u'close': u'01:00', u'open': u'17:00'}",,"{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}",55.9393512,-3.179831,Hung Lam,Newington,TRUE,7,4,EDH,business
32206,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,FALSE,,,FALSE,,,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",,TRUE,TRUE,,,FALSE,,loud,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,,free,6RsqA11RGj_tyUvMoDdnCA,"Fast Food,Restaurants",Edinburgh,"36 Nicolson Street
Newington
Edinburgh EH8 9DT","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}","{u'close': u'23:00', u'open': u'10:30'}",55.9458773,-3.1844573,KFC,Newington,TRUE,11,3.5,EDH,business
32211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,jk162BUZBMdl5it6DRz2bw,"Fish & Chips,Restaurants",Edinburgh,"11 Drumsheugh Place
West End
Edinburgh EH3 7PT",,,,,,,,55.95150647,-3.211892849,La Campagnola,"West End,New Town",TRUE,4,3.5,EDH,business
32226,FALSE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,,,TRUE,,,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,average,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,TRUE,,,gBJkm5lDB1sjSibaYo0gPA,"Turkish,Fast Food,Pizza,Restaurants",Edinburgh,"35 Clerk St
Newington
Edinburgh EH8 9JH","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}","{u'close': u'02:00', u'open': u'14:00'}",55.9422538,-3.1824318,Marmaris Kebab House,Newington,TRUE,17,3.5,EDH,business
32242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YBIM76tvxivszpDX51dkOA,"Fast Food,Restaurants",Edinburgh,"386 Gorgie Road
Edinburgh EH11 2RQ","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'11:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'11:00', u'open': u'17:00'}","{u'close': u'11:00', u'open': u'17:00'}","{u'close': u'11:00', u'open': u'17:00'}","{u'close': u'11:00', u'open': u'17:00'}",55.9365647,-3.2405072,Saiyems Take Away,,TRUE,3,4.5,EDH,business
32246,TRUE,,,none,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,FALSE,,,TRUE,,average,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,TRUE,no,5ItCz2CsxGRmh7rjxAhvyw,"Fish & Chips,Restaurants",Edinburgh,"169 Bruntsfield Place
Bruntsfield
Edinburgh EH10 4DG","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}","{u'close': u'00:00', u'open': u'17:00'}",55.9357503,-3.2096741,Globetrotter Fish & Chips,Bruntsfield,TRUE,9,3,EDH,business
32254,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,TRUE,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,quiet,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,TRUE,TRUE,no,IkMNmQK36geFrxYJ4HpehQ,"Food,Coffee & Tea,British,Restaurants",Edinburgh,"27 Sciennes Road
Marchmont
Edinburgh EH9 1NX","{u'close': u'16:00', u'open': u'09:30'}","{u'close': u'16:00', u'open': u'09:30'}",,,"{u'close': u'16:00', u'open': u'09:30'}","{u'close': u'16:00', u'open': u'09:30'}","{u'close': u'16:00', u'open': u'09:30'}",55.9380738,-3.18582,Annabelle's Restaurant,Marchmont,TRUE,5,4,EDH,business
32275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,QSO9PND1v5sOyOgvTgX_qw,"French,Restaurants",Edinburgh,"2-4 Bridge Road
Edinburgh EH13 0LF",,,,,,,,55.9076054,-3.2556575,Mackenzies,,TRUE,3,4.5,EDH,business
32280,TRUE,,,beer_and_wine,,casual,,,,,,,TRUE,,,,"{u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,FALSE,,,,,,,,FALSE,,2,no,TRUE,FALSE,FALSE,FALSE,no,pcZya2NujeyVqauKxUJ9-Q,"Fish & Chips,Restaurants",Edinburgh,"77 - 79 Broughton Street
New Town
New Town
Edinburgh EH1 3RJ","{u'close': u'02:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'02:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}","{u'close': u'01:00', u'open': u'16:30'}",55.9582291,-3.1894016,Rapido,New Town,TRUE,16,4,EDH,business
32281,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",dressy,,,,,,,FALSE,,,,,,TRUE,TRUE,,,FALSE,,average,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,,free,xaB8EHpyKKAHLLs5ZcvP7g,"American (Traditional),Restaurants",Edinburgh,"99 Gorgie Park Road
Edinburgh EH14 1XG","{u'close': u'01:00', u'open': u'05:00'}","{u'close': u'00:00', u'open': u'05:00'}","{u'close': u'01:00', u'open': u'05:00'}","{u'close': u'00:00', u'open': u'05:00'}","{u'close': u'00:00', u'open': u'05:00'}","{u'close': u'00:00', u'open': u'05:00'}","{u'close': u'00:00', u'open': u'05:00'}",55.9337012,-3.2382349,McDonald's,,TRUE,5,3,EDH,business
32293,TRUE,,,,,dressy,,,,,,,FALSE,,,TRUE,,,TRUE,TRUE,,,FALSE,,,,,TRUE,,1,,TRUE,FALSE,,,,Z2f_wtyr5-s1QBfNGSGO2w,"Fast Food,American (Traditional),Restaurants",Edinburgh,"1-17 Glasgow Road
Edinburgh EH12 8HW",,,,,,,,55.9422496,-3.293597056,McDonald's,,TRUE,7,3.5,EDH,business
32295,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,TRUE,,,TRUE,,,FALSE,"{u'dessert': False, u'latenight': True, u'lunch': True, u'dinner': True, u'brunch': False, u'breakfast': False}",,TRUE,TRUE,,,TRUE,,average,,,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,TRUE,TRUE,no,2dUrYkzgoIuFC8hu1DTknw,"Indian,Fast Food,Restaurants",Edinburgh,"7 Nicolson Square
Newington
Edinburgh EH8 9BH","{u'close': u'02:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'02:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}","{u'close': u'00:00', u'open': u'12:00'}",55.9461421,-3.1859746,Kebab Mahal,Newington,TRUE,57,4.5,EDH,business
32299,TRUE,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'touristy': False, u'trendy': False, u'casual': False}",casual,,,,,,,TRUE,"{u'dairy-free': False, u'gluten-free': False, u'vegan': True, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': False}",FALSE,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,,,average,,,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,outdoor,TRUE,TRUE,TRUE,FALSE,free,YsMVV5UIXSh6w32QPkYHcQ,"Thai,Fast Food,Restaurants",Edinburgh,"20a Leopold Place
London Road
Edinburgh EH7 5LB","{u'close': u'22:30', u'open': u'17:00'}",,"{u'close': u'22:30', u'open': u'17:00'}","{u'close': u'22:30', u'open': u'17:00'}","{u'close': u'22:30', u'open': u'17:00'}","{u'close': u'22:30', u'open': u'17:00'}","{u'close': u'22:30', u'open': u'17:00'}",55.9573866,-3.169649,Spice Box,,TRUE,9,4.5,EDH,business
32301,TRUE,,,none,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,,,TRUE,,,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,quiet,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,FALSE,TRUE,no,3UYAEVkrmaSV7D7rny1rzg,"Fast Food,Restaurants",Edinburgh,"191 Great Junction Street
Leith
Edinburgh EH6 5LQ",,,,,,,,55.9735323,-3.1767817,Sonar Gao,Leith,TRUE,3,5,EDH,business
32309,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,FALSE,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,,FALSE,FALSE,{u'dj': False},very_loud,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}",2,outdoor,FALSE,TRUE,TRUE,TRUE,no,m0yOk-81jhCxUXy4_hqMpw,"Bars,British,Pubs,Nightlife,Gastropubs,Restaurants",Edinburgh,"43-45 The Causeway
Duddingston
Edinburgh EH15 3QA","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'12:30'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}",55.9421266,-3.1478383,The Sheep Heid Inn,,TRUE,57,4,EDH,business
32321,TRUE,,,none,,casual,,,,,,,TRUE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,FALSE,FALSE,TRUE,,T5pXsUKSwXDd4ApID5QlbQ,"Fast Food,Pizza,Restaurants",Edinburgh,"131 Dalry Rd
West End
Edinburgh EH11 2DR","{u'close': u'03:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'03:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}",55.9430182,-3.2206495,Domino's Pizza Group,"West End,Haymarket",TRUE,5,4,EDH,business
