,name,address,zip,minrate,maxrate,longitude,latitude,desc_en
16025,Abileen Guest House,46 Minto Street,EH9 2BR,40,65,-3.177020252,55.93666642,"Set in the leafy side of the centre of Edinburgh, the Abileen is a Victorian family-run establishment with a 24-hour front desk, free Wi-Fi and free parking."
16028,Ballantrae Hotel At The West End,6 Grosvenor Crescent,EH12 5EP,45,400,-3.218068779,55.94820859,"In Edinburgh’s West End, The Ballantrae Hotel is close to the Haymarket Train Station and a 10-minute walk to Princes Street. This Grade II listed building offers rooms with a private bathroom and free WiFi."
16808,Apex City of Edinburgh Hotel,61 Grassmarket,EH1 2HJ,72,275,-3.195479214,55.9473818,"The Apex City of Edinburgh Hotel is located in the heart of Grassmarket in Edinburgh city centre, just minutes from The Royal Mile. The hotel has an award-winning restaurant and 4-star boutique bedrooms."
16972,Edinburgh Townhouse,38 North Castle Street,EH2 3BN,45,280,-3.2039731,55.95293923,"Set on the third floor of an elegant Georgian building, the Edinburgh Townhouse is just off the famous Princes Street, within walking distance of many of Edinburgh's top attractions. The guest house offers free Wi-Fi and rooms with LCD TVs."
17701,Malmaison Edinburgh,One Tower Place,EH6 7BZ,85,249,-3.168751001,55.97785039,"This boutique hotel sits on the banks of the Forth in Leith, and boasts a state-of-the art gym, free parking and a stylish bar. Edinburgh city centre is just 10 minutes’ drive away."
18200,The Hedges Bed & Breakfast,19 Hillside Crescent,EH7 5EB,75,160,-3.177301884,55.95825037,"Opposite historic Calton Hill Park, The Hedges offers guest house accommodation and free Wi-Fi. Waverley rail station and Princes Street are a brief walk away.  All of the spacious rooms have a large flat-screen TV and sleek en suite bathrooms."
18226,Hillside City Centre Garden Apartment,12B Hillside Street,EH7 5HB,195,250,-3.178264797,55.95884046,"With a leafy garden and stylish decor, Hillside Garden Apartment offers modern accommodation with free Wi-Fi. Holyrood Park is just half a mile away, and lively Princes Street is a 10-minute walk."
19064,Fountain Court Apartments - Morrison,228 Morrison Street,EH3 8EA,63,299,-3.213586807,55.94627262,"Just 200 metres from Haymarket Railway Station, Fountain Court Apartments – Morrison are a 10-minute walk from lively Princes Street. The serviced apartments have free Wi-Fi access."
19506,Cairn Hotel,10/18 Windsor Street,EH7 5JR,36,200,-3.18231225,55.95841554,"This newly refurbished hotel is 800 metres from Edinburgh Waverley Rail Station and the shops, theatres and nightlife of Princes Street. It offers free WiFi and has a breakfast room.  The Cairn Hotel is in Edinburgh city centre, close to Calton Hill."
19735,Ivy Guest House,7 Mayfield Gardens,EH9 2AX,38,210,-3.173712417,55.93356248,"Built in 1874, Ivy Guest House is a family-run Victorian town house located just 1 mile from Edinburgh city centre. It offers free Wi-Fi.  Most bedrooms have their own bathroom, some of which are situated outside the room."
19753,Merith House Hotel,2-3 Hermitage Place,EH6 8AF,35,269,-3.164049089,55.96928027,"The friendly Merith House has en suite rooms with free Wi-Fi and satellite TV.  With free on-street parking, the house is a 10-minute bus ride from Edinburgh city centre."
19945,Portsburgh Court - Grassmarket (Campus Accommodation),56 Lady Lawson Street,EH3 9DH,,82,-3.200224042,55.94551112,"Offering en suite rooms and studio flats in the city centre, Portsburgh Court is a 10-minute walk from the University of Edinburgh. Opposite the College of Art, it has free internet and an on-site common room."
20192,Calton Apartments,"Check in point: Abbey Hotel, 9 Royal Terrace",EH7 5AB,71.25,310,-3.179962635,55.95686748,"Less than a mile from Princes Street, the Royal Mile and Waverley Railway Station, these apartments have free, secure parking, and free Wi-Fi. Edinburgh's shops, theatres, restaurants and bars are 5 minutes' walk away."
20312,Livingstone Place Apartment,18/7 Livingstone Place,EH9 1PD,110,490,-3.187043667,55.93905204,"Next to Edinburgh’s Meadows Park, Livingstone Place Apartment offers a luxury self-catered flat with elegant décor. In exclusive Marchmont, the apartment has free Wi-Fi and a Wii games console."
21396,Oakhill Apartments,"Thorntree Park, 3 Thorntreeside",EH6 8FE,89,299,-3.168319166,55.96654973,"Sumptuously furnished, these 5-star luxury apartments boast beautiful décor, sound systems, and LCD TVs with Freeview channels. Free parking is available, and Edinburgh’s historic centre is just a 10-minute drive."
21932,Royal Mile Residence,"219 High Street, The Royal Mile",EH1 1PE,125.1,450,-3.188800514,55.95011173,"On the historic Royal Mile, these luxury apartments have good views and free Wi-Fi, close to restaurants and shops. Princes Street is a few minutes’ walk away."
22250,Auld Reekie Guest House,16 Mayfield Gardens,EH9 2BZ,55,195,-3.172699213,55.93204798,"In an attractive stone built Victorian house, Auld Reekie Guest House is conveniently located on the main bus route, offering a perfect base from which to explore historic Edinburgh."
22557,Edinburgh Pearl Apartments - Dalry Gait,1 Dalry Gait,EH11 2AU,99,400,-3.219534606,55.94468427,"In Edinburgh's city centre, these light, modern apartments offer free private parking and free Wi-Fi. Haymarket Railway Station‎ is 200 metres away and Princes Street is nearby."
22727,Glenalmond House,25 Mayfield Gardens,EH9 2BX,65,,-3.172495365,55.93226735,"This Victorian guest house is 2.4 km from Edinburgh city centre, with easy access by bus. It has free parking, free Wi-Fi and traditionally decorated luxury rooms.  Glenalmond House is a 4-star bed and breakfast in the quiet area of Newington."
23162,Ocean Apartments,"2 Western Harbour, Midway",EH6 6PN,95,475,-3.188461214,55.98603677,"These stylish apartments are in Edinburgh, with views of the Firth of Forth and easy access by bus to Edinburgh city centre. There is free parking, Wi-Fi and DVD library.  Ocean Apartments form part of Edinburgh's regenerated harbour area."
23328,Ardleigh Guest House,260 Ferry Road,EH5 3AN,75,160,-3.203438669,55.97183349,"With panoramic views of Edinburgh Castle and Arthur’s Seat, the family-run Ardleigh Guest House is less than one mile from Leigh Dock. It offers comfortable rooms and free parking."
23531,Masson House,18 Holyrood Park Road,EH16 5AY,82,119,-3.171443939,55.94003149,"Overlooking Edinburgh’s Holyrood Park, this refurbished 3-star bed and breakfast is 20 minutes' walk from the historic Royal Mile and Old Town."
23873,Apex Haymarket Hotel,90 Haymarket Terrace,EH12 5LQ,49.5,245,-3.223156929,55.94624408,"Just 15 minutes’ walk from Princes Street and Murrayfield Stadium, the Apex Haymarket Hotel offers rooms with stylish décor and HD LCD TVs. Free Wi-Fi is also available."
25151,Acer Lodge Guest House,425 Queensferry Road,EH4 7NB,85,99,-3.285319805,55.9616511,"Acer Lodge is a traditional Scottish, family-run guest house situated a 15-minute drive from the heart of Edinburgh and Edinburgh Airport. Parking and Wi-Fi are free.  All rooms have a bathroom with a shower, toiletries and a hairdryer."
25659,Hotel Indigo Edinburgh,51-59 York Place,EH1 3JD,95,425,-3.188610077,55.95638998,"In Edinburgh’s vibrant city centre, 200 metres from the Edinburgh Playhouse Theatre, Hotel Indigo Edinburgh offers stylish rooms with state-of-the-art technology."
26358,Edinburgh Central Guest House,8 Hill St,EH2 3JZ,36,250,-3.202227652,55.95342878,Edinburgh Central Guest House is set in the city centre of Edinburgh and offers nicely decorated bedrooms as well as free Wi-Fi.  The guest house is a 2-minute walk from Princes Street and a 10-minute walk from Edinburgh Castle.
26375,Averon Guest House,44 Gilmore Place,EH3 9NQ,72,200,-3.207825422,55.94135941,"In Edinburgh’s city centre, Averon Guest House has spacious rooms, free Wi-Fi and free private parking. Shopping on Princes Street is just a 10-minute walk from the property and King’s Theatre and a range of restaurants are just 200 metres away."
27525,The Merchiston Residence,4 Merchiston Avenue,EH10 4NX,107,279,-3.212273866,55.93458038,"In the heart of Edinburgh, this grand Victorian property has luxury boutique apartments with an iPod dock, flat-screen TV, free Wi-Fi and a fully equipped kitchen."
27560,Martins Guest House,5 Granville Terrace,EH10 4PQ,50,250,-3.215045929,55.93840908,"A welcoming Victorian villa, family-run Martins Guest House has free Wi-Fi and original period features. Waverley rail station is a short drive away.  Each comfortable room has a TV and an inclusive breakfast is provided."
27831,Drumorne Guest House,82 Willowbrae Road,EH8 7HA,30,,-3.146781698,55.95331481,"Situated on a 24-hour bus route, the Drumorne Guest House is just 2 miles from Edinburgh’s city centre. With free Wi-Fi, it is 25 minutes’ walk from Edinburgh Beach and a 5-minute stroll from Holyrood Palace Park."
28281,Almond House B&B,52 Glasgow Road,EH12 8HN,90,150,-3.297602981,55.94214653,"Almond House is situated in Edinburgh, a 10-minute drive from the airport. It offers free Wi-Fi and free parking on site, and an airport shuttle bus passes the door every 10 minutes."
29271,Edinburgh Pearl Apartments - Lochrin Place,20 Lochrin Place,EH3 9QS,99,300,-3.204853535,55.94254308,"In Edinburgh's city centre, these modern apartments offer free private parking and free Wi-Fi. Princes Street and the Royal Mile are less than a mile (1.6 km) away."
29633,Chalmers Street - The Meadows (Campus Accommodation),36 Chalmers Street,EH3 9FE,,70,-3.197496235,55.94262119,Chalmers Street offers modern rooms featuring free Wi-Fi and desks. Princes Street and Edinburgh Castle are within easy walking distance.  Some of the rooms at Chalmers Street have en suite facilities and some have shared bathrooms.
29739,McDonald Road Residence (Campus Accommodation),6 McDonald Road,EH7 4GT,79,,-3.182074875,55.96184628,"Just a 10-minute walk from Edinburgh’s Old Town and lively Princes Street, McDonald Road Residence offers modern studios with a 24-hour reception, security, and free WiFi.  Waverley Station is a 15-minute walk away."
30036,Fountain Court Apartments – Grove,123 Grove Street,EH3 8AA,81,319,-3.211328387,55.9434939,"These modern apartments are on a quiet one-way street, 700 metres from Edinburgh Haymarket Rail Station. The apartments have free Wi-Fi, satellite TV, dishwashers and washing machines.  Fountain Court Grove is less than a mile (1."
30755,The Place,36 York Place,EH1 3HU,53.1,210,-3.19007054,55.95642677,"Set across 3 Georgian townhouses, The Place offers 4-star accommodation and a restaurant and bar, in the heart of Edinburgh's city centre. A flat-screen TV and free Wi-Fi are provided in each stylish room."
30873,Henderson Street,79 Henderson Street,EH6 6ED,70,250,-3.172132596,55.97457116,"Next to Edinburgh’s Shore district, Henderson Street Apartment offers a luxury self-catered flat with elegant décor. Wi-Fi is free throughout, and there is free public parking nearby."
31554,Gladstone House,90 Dalkeith Road,EH16 5AF,65,106,-3.17088604,55.93663036,"Gladstone House is an elegant 4-star bed and breakfast with free private parking, less than a mile from Edinburgh city centre. The rooms offer wide-screen digital TVs and free Wi-Fi."
32642,Tigerlily,125 George Street,EH2 4JN,100,430,-3.205161989,55.95234606,"Tigerlily is an award-winning boutique hotel with chic rooms, an elegant bar, nightclub and a restaurant. It is a 10-minute walk from the Scott Monument in Edinburgh’s most popular shopping area and financial district."
33038,York Place Apartments by Destination Edinburgh,20 York Place,EH1 3EP,180,550,-3.191925287,55.95611519,"York Place self-catering Apartments are set within a renovated Georgian town house, offering modern apartments in Edinburgh city centre, 3 minutes' walk from the shopping district of Princes Street."
34109,Alba House,29 Craigmillar Park,EH16 5PE,79,250,-3.168434501,55.92822992,"This Victorian house is in large gardens and has easy access to Edinburgh's city centre by bus. It offers free Wi-Fi, free parking, large rooms and fresh, home-cooked, traditional Scottish breakfasts.  Alba House has a quiet location less than 3."
34791,The Sandaig,5 East Hermitage Place,EH6 8AA,65,218.9,-3.163110316,55.96936432,"Overlooking historic Leith Links Park, this elegant Victorian 4-star guest house is 10 minutes from Edinburgh city centre. Offering free parking and a free drink on arrival, Sandaig has good access to a regular bus service."
35878,Abercorn Guest House,1 Abercorn Terrace Portobello,EH15 2DD,60,220,-3.107875586,55.95108009,"A 4-star guest house, Abercorn is 5 minutes’ walk from the beach and 10 minutes’ drive from Edinburgh city centre. It offers elegant rooms with free Wi-Fi, cooked breakfasts and free parking."
36384,Pollock Halls - Edinburgh First - Campus Accommodation,18 Holyrood Park Road,EH16 5AY,,115,-3.172055483,55.94039802,"Located at the foot of the royal Holyrood Park and Arthur's Seat, the Pollock Halls campus offers bed and breakfast accommodation during the University of Edinburgh's summer vacation."
36512,Albyn Townhouse,16 Hartington Gardens,EH10 4LD,75,144,-3.211323023,55.93734246,"Just 20 minutes’ walk from Edinburgh Medieval City, The Albyn Townhouse offers 4-star, family-run B&B accommodation with king-size beds and full Scottish breakfasts within a 4-storey, 19th-century town house."
36945,Premier Inn Edinburgh East,228 Willowbrae Road,EH8 7NG,68,185.5,-3.136543036,55.94649341,"With free private parking, this Premier Inn is on a main bus route, with excellent direct access to Edinburgh city centre. There is an on-site Beefeater restaurant, with a varied grill menu."
37199,Fountain Court Apartments - EQ2,"1 Lower Gilmore Bank, Off Lower Gilmore Place",EH3 9QP,103.5,699,-3.208646178,55.94194374,"With a canal side location, these spacious apartments are situated in Edinburgh’s residential area, just 1-mile from Edinburgh Castle. Bars and restaurants are within 300 metres of EQ2. Princes Street’s shops and gardens are less than 1-mile away."
37381,Rodney Apartments by Destination Edinburgh,32 Rodney Street,EH7 4DX,80,220,-3.195799738,55.96189282,"Set in the New Town area, with bus routes into Edinburgh city centre, the Rodney Apartments offers free Wi-Fi and free private parking on request."
37567,Cambridge House - B&B,8 Cambridge Avenue,EH6 5AP,39,160,-3.179198205,55.96588996,"Dating back to 1880, Cambridge House - B&B is set 1 mile from both the historic city centre and the Leith docks area of Edinburgh.  The well-equipped bedrooms feature a flat-screen TV and a DVD player, each room also has a modern private bathroom."
38073,Piries Hotel,4/8 Coates Gardens,EH12 5lb,44.1,450,-3.221308887,55.94633495,"This budget Victorian hotel has clean en suite rooms just a few minutes from Haymarket Station and a 10-minute walk from Princes Street, Edinburgh's main shopping area.  Piries Hotel is located in the Haymarket area of Edinburgh's West End."
39108,The Chester Residence,7-9 Rothesay Place,EH3 7SL,135,625,-3.217121959,55.95059651,"Chester Residence offers stunning, stylish suites set in different locations around Edinburgh city centre and within 800 metres of Princes Street's shopping."
39135,Alpha Guest House,19 Old Dalkeith Road,EH16 4TE,60,140,-3.156128526,55.92743726,"Alpha Guest House offers ground floor rooms, a 5-minute drive from Edinburgh city centre and Edinburgh Hospital. It has free Wi-Fi, free parking and a 24-hour front desk.  All the rooms have a bathroom with a hairdryer."
39154,St Christopher's Edinburgh,9-13 Market Street,EH1 1DE,10.39,,-3.190315962,55.95097346,"Situated opposite Waverley railway station, St Christopher's offers budget accommodation in central Edinburgh with free Wi-Fi, electronic card entry system, lockers, and insured luggage storage."
39218,Haymarket Hotel,1-3 Coates Gardens,EH12 5LG,34,370,-3.22178632,55.94624408,"Haymarket Hotel offers charming, Victorian town house accommodation with friendly service and free Wi-Fi. Haymarket rail station is a brief walk away.  Haymarket Hotel has spacious bedrooms and most rooms have an LCD Freeview TV."
39690,Staycity Serviced Apartments- West End,11 Brandfield Street,EH3 8AS,57,424.97,-3.212656081,55.94332342,"Staycity Serviced Apartments- West End are situated 0.5 miles from Edinburgh Haymarket Rail Station. With free Wi-Fi and 24-hour reception, Princes Street’s shops are just 1 mile away."
39872,Brodies Hostels,93 High Street,EH1 1SG,8,75,-3.185913116,55.9504989,"On Edinburghs historic Royal Mile, the 3-star Brodies Hostels offers budget accommodation with Wi-Fi and 24-hour access after you have checked in."
40619,Edinburgh City Hotel,79 Lauriston Place,EH3 9HZ,67,213,-3.200960308,55.94447549,"In the heart of Edinburgh, this hotel is steeped in history but has a modern interior. The Old Town, the Grass Market, Edinburgh Castle and the EICC are all within 20 minutes’ walk.  The Edinburgh City Hotel offers stylish rooms with free Wi-Fi."
40622,Kenneth Mackenzie,7 Richmond Place,EH8 9ST,64,129,-3.183374405,55.94665261,"In Edinburgh’s Old Town, the 3-star Kenneth Mackenzie offers good value accommodation, only a short walk from Princes Street, Waverley Rail Station and The Royal Mile."
40666,Panmure Court - Royal Mile - Campus Accommodation,32 Calton Road,EH8 8DP,,,-3.178610802,55.95279657,"The Panmure Court studios are just a 10-minute walk from both the Edinburgh Train Station and the Royal Mile. Two types of studios are available, each with a kitchen and an en suite shower."
40768,Prestonfield House,Priestfield Road,EH16 5UT,180,440,-3.166594505,55.93560876,This luxurious 5-star retreat has a fine-dining restaurant and romantic bedrooms about 3 km from the Royal Mile.  Prestonfield is surrounded by gardens and a golf course. Buses to the city centre are a 5-minute walk away. Parking is free.
43331,Apex Grassmarket Hotel,31-35 Grassmarket,EH1 2HS,81,320,-3.196636587,55.94705663,"In the vibrant Grassmarket area, this stylish hotel has a sauna, a pool, a gym, an award-winning restaurant, and free Wi-Fi for guests to enjoy. Princes Street and Edinburgh Castle are 15 minutes’ walk away."
43382,Holiday Inn Edinburgh,"132 Corstorphine Road, Costorphine",EH12 6UA,52,225,-3.267483115,55.94251604,"This hotel is next to Edinburgh Zoo, close to Murrayfield Stadium and 4 miles from Edinburgh International Airport. It offers a pool, gym, free parking and an Asian restaurant."
44595,Hotel Du Vin Edinburgh,11 Bristo Place,EH1 1EZ,99,355,-3.19016844,55.94611491,"In Edinburgh’s historic Old Town, this Hotel Du Vin has uniquely styled bedrooms in a former city asylum.  At the hotel’s heart is a French Bistro, serving produce from the Lothian region."
44713,Holiday Inn Edinburgh City West,107 Queensferry Rd.,EH4 3HL,50,235,-3.243222535,55.95585242,"This modern hotel has a quiet location with easy access by bus to the city centre, 3.2 km away. It is 8 km from Edinburgh Airport and offers free parking and air-conditioned rooms."
45576,Aaron Lodge,128 Old Dalkeith Road,EH16 4SD,65,150,-3.147776127,55.92182356,"Just 5 minutes’ drive from Edinburgh centre, Aaron Lodge offers free parking and free Wi-Fi. Situated on the A7 tourist route, the hotel has elegant rooms with private luxury bathrooms."
45723,Hermitage Guest House,16 East Hermitage Place,EH6 8AB,,180,-3.161939532,55.96956096,"Hermitage is a quiet guest house overlooking Leith Links Park, and 2.4 km northeast of Edinburgh city centre and Princes Street.  Hermitage Guest House has street parking and is a 10-minute bus journey from the city centre."
46543,Gilmore Guest House,51 Gilmore Place,EH3 9NT,30,160,-3.207602799,55.9412828,"Built in 1836, Gilmore Guest House offers budget accommodation in the heart of Edinburgh city centre. Guests can enjoy free Wi-Fi throughout the building.  Each room has a flat-screen plasma TV with multiple channels and a built-in DVD player."
47769,Lady Nicolson Court - Bristol Square (Campus Accommodation),38 Potterrow,EH8 9BT,,,-3.186407983,55.94507104,"Situated in Edinburgh’s Old Town, Lady Nicolson Court offers 2 types of modern studio flats with private kitchens, washer dryers and city views, just 10 minutes from the city centre."
48584,Fettes Apartments,86 East Pilton Farm Wynd ,EH5 2GL,180,1001,-3.224401474,55.97405035,"With a private roof garden, this impressive 3-bedroom house offers free Wi-Fi and city views. Fettes Apartments is situated in the Granton area, just 2 miles from Edinburgh centre."
48672,Anchorage B&B,1 Elcho Place Port Seton,EH32 0DL,60,120,-2.956896722,55.97175544,"Set in a picturesque fishing village just off the A1 motorway, this family-run hotel is on the sea front and overlooks the harbour. Wi-Fi is free throughout the property."
48705,Doubletree by Hilton Edinburgh City Centre,34 Bread Street,EH3 9AF,80.99,760,-3.203340769,55.9457229,"Located in the heart of Edinburgh, Doubletree by Hilton Edinburgh City Centre offers fantastic views over Edinburgh Castle. Edinburgh International Conference Centre is just 400 metres away and there is free Wi-Fi in the public areas."
49046,Salisbury Green Hotel,18 Holyrood Park Road,EH16 5AY,114,179,-3.171384931,55.94001647,"Set in an 18th-century mansion house, Salisbury Green Hotel offers free Wi-Fi, free parking and traditional Scottish breakfasts. The hotel is a 20-minute walk from Edinburgh’s historic centre and the Royal Mile."
49725,Novotel Edinburgh Centre,80 Lauriston Place,EH3 9DE,69,314,-3.199719787,55.9449719,"5 minutes' walk from Grassmarket, Novotel Edinburgh Centre features a hot tub and swimming pool. It offers spacious, modern rooms with LCD TVs. Princes Street is a 10-minute walk away.  Each room provides a 32-inch LCD TV."
1021,Trinity Mansion - Apartments,134 Newhaven Road,EH6 4NR,99,175,-3.189666867,55.9747415,These luxurious serviced apartments with free parking are set in a tranquil location within grounds of a private mansion.  They are just a short walk from the Royal Yacht Britania and within 5 minutes’ drive of Edinburgh Castle and Princes Street.
1192,Young Street Apartments,19 Young Street,EH2 4HU,97.5,400,-3.205886185,55.95289718,"On a quiet cobbled street 5 minutes’ walk from Princes Street, these stylish apartments are only 10 minutes away by foot from Edinburgh Waverley Station. Guests can enjoy free Wi-Fi and a fully equipped kitchen."
1669,Minto House,23 Minto Street,EH9 1RQ,40,180,-3.17484498,55.93451202,"Just a 15-minute walk from Holyrood Park, this bed and breakfast offers free private parking. A flat-screen TV is included in each en suite room."
2216,Destiny Scotland -The Malt House Apartments,2 Canning Street,EH3 8EG,90,310,-3.210071102,55.948331,"Situated in the heart of Edinburgh’s city centre, Malt House Apartments are only 2 minutes’ walk to the west end of Princes Street."
3255,"Tune Hotel - Haymarket, Edinburgh",7 Clifton Terrace,EH12 5DR,40,130,-3.218189478,55.94604658,"A 15-minute walk from Edinburgh Castle and the shops of popular Princes Street, Tune Hotel Haymarket is directly across the road from Haymarket Rail Station. There is free Wi-Fi throughout the building."
3680,Haggis Hostels,5/3 West Register Street,EH2 2AA,16.2,400,-3.190348148,55.95360598,"Just 50 metres from Edinburgh’s bustling Princes Street, Haggis Hostels is set in a renovated 18th-century Georgian building. It offers a 24-hour reception with free Wi-Fi and a fully equipped shared kitchen."
5246,Rockville Hotel,2 Joppa Pans,EH15 2HF,85,80,-3.08802858,55.94868919,"The family-run Rockville Hotel is situated in a seaside suburb of Edinburgh, within 5 miles from the city centre. It offers picturesque views across the Firth of Forth as well as free private parking and free Wi-Fi."
5994,No 45,45 Gilmour Road,EH16 5NS,55,175,-3.169845343,55.92768069,"With regular buses to Edinburgh city centre nearby, No 45 offers 4-star guest accommodation and free Wi-Fi. The heart of the beautiful city is 2 miles from the building."
8581,The Conifers,56 Pilrig Street,EH6 5AS,55,150,-3.180257678,55.96540507,This family-run guest house is set in an elegant period building situated in the heart of Edinburgh. The Conifers is a mile north of Edinburgh Rail Station and offers free Wi-Fi throughout.
9955,Edinburgh Accommodation,227/1 High Street,EH1 1PE,179,600,-3.188972846,55.95005061,"Situated in Edinburgh’s historic Old Town, the oldest part of the city and a World Heritage Site, these self-catering apartments boast free Wi-Fi. Most are a 10-minute walk from Edinburgh Castle, high on a hill overlooking the city."
11286,Dreamhouse Apartments Edinburgh City Centre,17 West Tollcross,EH3 9QN,99,310,-3.206272423,55.94252656,"Featuring dishwashers and private laundry facilities, these stylish apartments are located near Lothian Road, less than 10 minutes’ walk from Edinburgh International Conference Centre. Each has free Wi-Fi and a flat-screen TV."
15476,Edinburgh City Lets,6 Drummond Street,EH8 9TU,79,,-3.185705245,55.94723598,"Edinburgh City Lets offer modern apartments with free Wi-Fi, fully equipped kitchens and a lounge area with flat-screen TV."
17604,B+B Edinburgh,3 Rothesay Terrace,EH3 7RY,62.05,150,-3.216607,55.951137,"A 20-minute walk from Edinburgh Castle and the Royal Mile, this boutique bed and breakfast has a historically listed façade and a charming old staircase. Wi-fi is free throughout the building."
18095,Garlands Guest House,48 Pilrig Street,EH6 5AL,40,180,-3.179970682,55.96509507,"Built by a Leith wine merchant in 1823 as a townhouse, Garlands Guest House is situated just 2km from Edinburgh city centre.  A private bathroom and flat-screen LCD TV with DVD player are included in all Garlands rooms."
18346,Valentine City Centre Guest House,19-21 Gilmore Place,EH3 9NE,42.84,,-3.204521611,55.94173945,"The Georgian Valentine City Centre Guest House is located in Edinburgh city centre at the South-West corner of the historic Old Town. It is the closest guest house to Edinburgh Castle, which is within a 15-minute walk."
19142,The Links,"4 Alvanley Terrace, Whitehouse Loan",EH9 1DU,89,199,-3.202922344,55.9376309,The Links Hotel is just a 25-minute walk from Edinburgh city centre and features a lively bar which overlooks Bruntsfield Links park. The shopping precinct of Princes Street is only 1.3 miles from the the hotel.
20432,Motel One Edinburgh-Royal,18-21 Market Street,EH1 1BL,59,134,-3.191431761,55.95078273,"Situated in the centre of Edinburgh, the Motel One Edinburgh-Royal is 5 minutes’ walk away from the train station, and only half a mile from the Castle. Guests can reach the historical St."
22095,Torphichen Place,21/2f2 Torphichen Place,EH3 8DY,70,140,-3.213960975,55.94653471,"Located 300 metres from Haymarket Rail Station, Torphichen Place apartments are just a 10-minute walk from Princes Street's shops."
23313,Quartermile Luxury Apartments,"Flat 4, 35 Simpson Loan, Quartermile",EH3 9GH,95,195,-3.193046451,55.9434203,"Located on the edge of the Meadows, these 4-star apartments are set in a modern buildings and have 24-hour concierge service. Large glass windows feature in the open-plan, contemporary lounge and kitchen areas of each apartment."
23390,Leith House,6 Cambridge Avenue,EH6 5AP,36,219,-3.179237098,55.96586745,"Dating back to 1880, Leith House is situated in the heart of Edinburgh, just 1 mile from the city centre. The guesthouse retains charming original features, and boasts modern features like HD TV in its rooms."
23807,"The Glasshouse Autograph Collection by Marriott, A Marriott Luxury & Lifestyle Hotel",2 Greenside Place,EH1 3AA,100,435,-3.18567574,55.9566948,"Fully refurbished in June 2013, The Glasshouse Autograph Collection by Marriott is a modern 5-star boutique hotel set behind the facade of 160-year-old Lady Glenorchy Church."
25577,The Hostel,3 Clifton Terrace,EH12 5DR,11,60,-3.217285573,55.94623057,"Set in an original Victorian building, this funky hostel offers airy dorm rooms with large windows and high ceilings. It is directly opposite Haymarket Train Station and only a 5-10 minute walk from Princes Street."
26673,4KT,4 Kew Terrace,EH12 5JE,60,150,-3.230323792,55.94537895,"Built in 1865, this renovated family-run guesthouse set in exclusive Murrayfield. The charming 4KT offers spacious rooms, an extensive breakfast menu and free parking, 5 minutes’ walk from Murrayfield Rugby Stadium."
26789,Premier Inn Edinburgh Park - The Gyle,1 Lochside Court,EH12 9FX,68.99,165.5,-3.308129311,55.92805411,"Located opposite Edinburgh Park Rail Station, this Premier Inn is just 10 minutes’ drive from Edinburgh Airport. With an on-site bar, a Costa Coffee Shop and a restaurant, this hotel also has a 24-hour front desk."
27132,My-Quartermile Apartments,Simpson Loan ,EH3 9GG,87.3,,-3.191764355,55.94381985,"Situated in the heart of Edinburgh city centre, My-Quartermile Apartments are nestled between a variety of bars, cafés and restaurants, and The Meadows park."
27226,Panda Villa,12 Kilmaurs Road,EH16 5DA,,114.5,-3.166708499,55.93493194,"Just 5 minutes’ walk from Holyrood Park and Arthur’s Seat, Panda Villa B&B features free parking in Edinburgh’s Old Town. Guests can enjoy full Scottish breakfasts, free Wi-Fi, and rooms with DVD players."
28522,Old Town Apartments- Royal Mile,"217 High Street, The Royal Mile, Edinburgh EH1 1PE",EH1 1PE,121.5,330,-3.189041913,55.95015048,"In the heart of Edinburgh, in a lively area with bars and nightclubs, Old Town Apartments offers self-catering modern apartments with free Wi-Fi on Blair Street just off the Royal Mile."
28554,Ritz Hotel,14-16 Grosvenor Street,EH12 5EG,45,,-3.217522949,55.94689593,"Situated 15 minutes’ walk to Edinburgh castle and the picturesque West Princes Street Gardens, the Ritz Hotel offers 3-star accommodation with free Wi-Fi, and easy access to the city centre."
28877,Ravensdown Guest House,248 Ferry Road,EH5 3AN,70,210,-3.202694356,55.97203162,"In the heart of Edinburgh, Ravensdown was built in the early 19th century and has spectacular views of Edinburgh castle and Arthur’s Seat. There is free parking and free Wi-Fi."
30497,Windsor Street Apartments,Windsor Street,EH7 5JR,,1000,-3.182234466,55.95854467,"Just a 10-minute walk from the shops and nightlife of Princes Street, Windsor Street Apartments feature free WiFi and a modern, fully equipped kitchen. Edinburgh Waverley Rail Station is 10 minutes away on foot."
31053,Greyfriars Apartments,23 Blair Street,EH1 1QR,79,275,-3.187724948,55.94920433,"Less than 100 metres from the historic Royal Mile, this 4-star, soundproofed apartment is within 5 minutes’ walk of Edinburgh Castle. Views of Edinburgh’s city feature in the lounge."
31273,No. 53 Frederick Street,53 Frederick Street,EH2 1LH,80,170,-3.200669289,55.95387027,"In Edinburgh’s central New Town just a minute’s walk from bustling Princes Street, this elegant Georgian townhouse offers free Wi-Fi and full Scottish breakfasts. Edinburgh Waverley Rail Station is just 15 minutes’ walk away."
32233,Edinburgh Metro Youth Hostel,"11/2 Robertson's Close, Cowgate",EH1 1LY,,49.5,-3.185486645,55.94889645,Edinburgh Metro Youth Hostel is located in the heart of Edinburgh old town and is in Edinburgh University’s Cowgate halls of residence during the summer holidays. Edinburgh Rail Station is just 700 meters from the hostel.
